Question,Answer
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on November 25, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on November 26, 2024 at 2 - 5 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"When is the ""Invisible Fight: Chronic Illness Support Group""?","The event will be open on November 26, 2024 at 4 - 5 p.m. Weekly (to Dec 17)."
"Can you give me some information about ""Invisible Fight: Chronic Illness Support Group""?","Living with a chronic illness/medical condition can be an isolating experience. This support group is an opportunity for students who experience chronic conditions (i.e. asthma, diabetes, autoimmune diseases, cancer, and others) to gather in community for support and validation."
"When is the ""(Women’s Basketball) Carlow vs. Carnegie Mellon""?","The event will be open on November 26, 2024 at 5:30 - 8:30 p.m.."
"Can you give me some information about ""(Women’s Basketball) Carlow vs. Carnegie Mellon""?",(Women’s Basketball) Carlow vs. Carnegie Mellon
"Where can I see the ""LGBTQIA+ Support and Social Group""?",The event is at Morewood Gardens Group Room.
"Is there a specific location to enter for the ""LGBTQIA+ Support and Social Group""?","Yes, it is held at Morewood Gardens Group Room."
"When is the ""LGBTQIA+ Support and Social Group""?","The event will be open on November 26, 2024 at 6 - 7 p.m. Weekly (to Dec 10)."
"Can you give me some information about ""LGBTQIA+ Support and Social Group""?",Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.
"When is the ""Day of the Covenant (Baha’i)""?","The event will be open on November 26, 2024 all day."
"Can you give me some information about ""Day of the Covenant (Baha’i)""?","  Baha’is remember the appointment of Abdu’l-Baha as the center of Baha’u’llah’s covenant and celebrate the unity of their faith, and the basic unity of all faiths.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"Where can I see the ""Like, Totally Transformative: CMU in the 1980s""?",The event is at Hunt Library Gallery.
"Is there a specific location to enter for the ""Like, Totally Transformative: CMU in the 1980s""?","Yes, it is held at Hunt Library Gallery."
"When is the ""Like, Totally Transformative: CMU in the 1980s""?","The event will be open on Aug. 30 - Nov. 27, 2024 all day."
"Can you give me some information about ""Like, Totally Transformative: CMU in the 1980s""?","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!"
"When is the ""Native American Heritage Month""?","The event will be open on November 1 - 30, 2024 all day."
"Can you give me some information about ""Native American Heritage Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"When is the ""Nativity Fast""?","The event will be open on Nov. 15 - Dec. 23, 2024 all day."
"Can you give me some information about ""Nativity Fast""?","  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"Where can I see the ""Like, Totally Transformative: CMU in the 1980s""?",The event is at Hunt Library Gallery.
"Is there a specific location to enter for the ""Like, Totally Transformative: CMU in the 1980s""?","Yes, it is held at Hunt Library Gallery."
"When is the ""Like, Totally Transformative: CMU in the 1980s""?","The event will be open on Aug. 30 - Nov. 27, 2024 at Midnight."
"Can you give me some information about ""Like, Totally Transformative: CMU in the 1980s""?","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!"
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on November 27, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""Gender in Process""?",The event is at Morewood Gardens Group Room.
"Is there a specific location to enter for the ""Gender in Process""?","Yes, it is held at Morewood Gardens Group Room."
"When is the ""Gender in Process""?","The event will be open on November 27, 2024 at 3:30 - 5 p.m. Weekly (to Dec 11)."
"Can you give me some information about ""Gender in Process""?","This is a supportive space for healing from internalized cissexism and transphobia, together."
"Where can I see the ""Master’s Student Support Group""?","The event is at Highmark Center for Health, Wellness and Athletics...."
"Is there a specific location to enter for the ""Master’s Student Support Group""?","Yes, it is held at Highmark Center for Health, Wellness and Athletics...."
"When is the ""Master’s Student Support Group""?","The event will be open on November 27, 2024 at 4 - 5 p.m. Weekly (to Dec 13)."
"Can you give me some information about ""Master’s Student Support Group""?",The Master’s Student Support Group provides an opportunity for students to come together and discuss the unique experiences and challenges of being a Master’s student.
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on November 27, 2024 at 4:30 - 7:30 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"Where can I see the ""Voter Registration Assistance""?","The event is at Nexus of Civic Engagement, Cohon University Center...."
"Is there a specific location to enter for the ""Voter Registration Assistance""?","Yes, it is held at Nexus of Civic Engagement, Cohon University Center...."
"When is the ""Voter Registration Assistance""?","The event will be open on November 27, 2024 at 6 - 9 p.m. Weekly (to Dec 5)."
"Can you give me some information about ""Voter Registration Assistance""?","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election."
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"When is the ""Native American Heritage Month""?","The event will be open on November 1 - 30, 2024 all day."
"Can you give me some information about ""Native American Heritage Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"When is the ""Nativity Fast""?","The event will be open on Nov. 15 - Dec. 23, 2024 all day."
"Can you give me some information about ""Nativity Fast""?","  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"When is the ""Thanksgiving Break; No Classes""?","The event will be open on November 27 - 30, 2024 all day."
"Can you give me some information about ""Thanksgiving Break; No Classes""?","  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. "
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"When is the ""Native American Heritage Month""?","The event will be open on November 1 - 30, 2024 all day."
"Can you give me some information about ""Native American Heritage Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"When is the ""Nativity Fast""?","The event will be open on Nov. 15 - Dec. 23, 2024 all day."
"Can you give me some information about ""Nativity Fast""?","  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"When is the ""Thanksgiving""?","The event will be open on November 28, 2024 all day."
"Can you give me some information about ""Thanksgiving""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on November 28, 2024 at 2 - 5 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"When is the ""Thanksgiving Break; No Classes""?","The event will be open on November 27 - 30, 2024 all day."
"Can you give me some information about ""Thanksgiving Break; No Classes""?","  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. "
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on November 29, 2024 at Noon - 3 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"When is the ""Black Women’s Support Group""?","The event will be open on November 29, 2024 at 4 - 5:15 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""Black Women’s Support Group""?","A supportive, virtual space for students who identify as Black women, facilitated by Black female therapists."
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"When is the ""Native American Heritage Month""?","The event will be open on November 1 - 30, 2024 all day."
"Can you give me some information about ""Native American Heritage Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"When is the ""Nativity Fast""?","The event will be open on Nov. 15 - Dec. 23, 2024 all day."
"Can you give me some information about ""Nativity Fast""?","  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"When is the ""Thanksgiving Break; No Classes""?","The event will be open on November 27 - 30, 2024 all day."
"Can you give me some information about ""Thanksgiving Break; No Classes""?","  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. "
"When is the ""Native American Heritage Month""?","The event will be open on November 1 - 30, 2024 at Midnight."
"Can you give me some information about ""Native American Heritage Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"When is the ""Thanksgiving Break; No Classes""?","The event will be open on November 27 - 30, 2024 at Midnight."
"Can you give me some information about ""Thanksgiving Break; No Classes""?","  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. "
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on November 30, 2024 at 10 a.m. - 1 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"When is the ""Nativity Fast""?","The event will be open on Nov. 15 - Dec. 23, 2024 all day."
"Can you give me some information about ""Nativity Fast""?","  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"When is the ""Nativity Fast""?","The event will be open on Nov. 15 - Dec. 23, 2024 all day."
"Can you give me some information about ""Nativity Fast""?","  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on December 2, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""Neurospicy — Graduate""?",The event is at Morewood Gardens Group Room.
"Is there a specific location to enter for the ""Neurospicy — Graduate""?","Yes, it is held at Morewood Gardens Group Room."
"When is the ""Neurospicy — Graduate""?","The event will be open on December 2, 2024 at 1 - 2:30 p.m. Weekly (to Dec 13)."
"Can you give me some information about ""Neurospicy — Graduate""?",Neurospicy is a supportive space for students across the neurodiverse umbrella to discuss their experiences traversing neuro-typical and allistic landscapes.
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on December 2, 2024 at 2 - 5 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"When is the ""PhD Student Support Group""?","The event will be open on December 2, 2024 at 6:30 - 7:30 p.m. Weekly (to Dec 13)."
"Can you give me some information about ""PhD Student Support Group""?","The PhD Support Group offers space to confidentially discuss the stressors and challenges of navigating relationships with advisors and peers, academic milestones, academic hazing, low motivation, struggles with self-confidence, and efforts to lead a more balanced life."
"Where can I see the ""Carnegie Mellon Jazz Orchestra & JIVE-Carnegie Mellon Jazz Choir""?","The event is at Kresge Theatre, College of Fine Arts @ 5000 Forbes...."
"Is there a specific location to enter for the ""Carnegie Mellon Jazz Orchestra & JIVE-Carnegie Mellon Jazz Choir""?","Yes, it is held at Kresge Theatre, College of Fine Arts @ 5000 Forbes...."
"When is the ""Carnegie Mellon Jazz Orchestra & JIVE-Carnegie Mellon Jazz Choir""?","The event will be open on Monday, December 2 at 7 - 9 p.m.."
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"When is the ""Nativity Fast""?","The event will be open on Nov. 15 - Dec. 23, 2024 all day."
"Can you give me some information about ""Nativity Fast""?","  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on December 3, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on December 3, 2024 at 2 - 5 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"When is the ""Invisible Fight: Chronic Illness Support Group""?","The event will be open on December 3, 2024 at 4 - 5 p.m. Weekly (to Dec 17)."
"Can you give me some information about ""Invisible Fight: Chronic Illness Support Group""?","Living with a chronic illness/medical condition can be an isolating experience. This support group is an opportunity for students who experience chronic conditions (i.e. asthma, diabetes, autoimmune diseases, cancer, and others) to gather in community for support and validation."
"Where can I see the ""LGBTQIA+ Support and Social Group""?",The event is at Morewood Gardens Group Room.
"Is there a specific location to enter for the ""LGBTQIA+ Support and Social Group""?","Yes, it is held at Morewood Gardens Group Room."
"When is the ""LGBTQIA+ Support and Social Group""?","The event will be open on December 3, 2024 at 6 - 7 p.m. Weekly (to Dec 10)."
"Can you give me some information about ""LGBTQIA+ Support and Social Group""?",Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.
"Where can I see the ""Carnegie Mellon Chamber Series: Lorna McGhee back @ CMU!""?","The event is at Kresge Theatre, College of Fine Arts @ 5000 Forbes...."
"Is there a specific location to enter for the ""Carnegie Mellon Chamber Series: Lorna McGhee back @ CMU!""?","Yes, it is held at Kresge Theatre, College of Fine Arts @ 5000 Forbes...."
"When is the ""Carnegie Mellon Chamber Series: Lorna McGhee back @ CMU!""?","The event will be open on Tuesday, December 3 at 7:30 - 9:30 p.m.."
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"When is the ""Nativity Fast""?","The event will be open on Nov. 15 - Dec. 23, 2024 all day."
"Can you give me some information about ""Nativity Fast""?","  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on December 4, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""Monthly Gratitude Gathering""?","The event is at Well-being Lab (Room 104), Wellness & Meaning-...."
"Is there a specific location to enter for the ""Monthly Gratitude Gathering""?","Yes, it is held at Well-being Lab (Room 104), Wellness & Meaning-...."
"When is the ""Monthly Gratitude Gathering""?","The event will be open on December 4, 2024 at Noon - 1 p.m.."
"Can you give me some information about ""Monthly Gratitude Gathering""?","Join us for a gratitude gathering on the first Wednesday of every month to pause, reflect and appreciate the goodness in our lives"
"Where can I see the ""Provost’s Office Hours""?","The event is at Student Academic Success Center, Posner Hall 1st F...."
"Is there a specific location to enter for the ""Provost’s Office Hours""?","Yes, it is held at Student Academic Success Center, Posner Hall 1st F...."
"When is the ""Provost’s Office Hours""?","The event will be open on December 4, 2024 at 1:30 - 3 p.m.."
"Can you give me some information about ""Provost’s Office Hours""?","Provost Jim Garrett is holding monthly office hours for all faculty, staff and students."
"Where can I see the ""Gender in Process""?",The event is at Morewood Gardens Group Room.
"Is there a specific location to enter for the ""Gender in Process""?","Yes, it is held at Morewood Gardens Group Room."
"When is the ""Gender in Process""?","The event will be open on December 4, 2024 at 3:30 - 5 p.m. Weekly (to Dec 11)."
"Can you give me some information about ""Gender in Process""?","This is a supportive space for healing from internalized cissexism and transphobia, together."
"Where can I see the ""Master’s Student Support Group""?","The event is at Highmark Center for Health, Wellness and Athletics...."
"Is there a specific location to enter for the ""Master’s Student Support Group""?","Yes, it is held at Highmark Center for Health, Wellness and Athletics...."
"When is the ""Master’s Student Support Group""?","The event will be open on December 4, 2024 at 4 - 5 p.m. Weekly (to Dec 13)."
"Can you give me some information about ""Master’s Student Support Group""?",The Master’s Student Support Group provides an opportunity for students to come together and discuss the unique experiences and challenges of being a Master’s student.
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on December 4, 2024 at 4:30 - 7:30 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"Where can I see the ""Voter Registration Assistance""?","The event is at Nexus of Civic Engagement, Cohon University Center...."
"Is there a specific location to enter for the ""Voter Registration Assistance""?","Yes, it is held at Nexus of Civic Engagement, Cohon University Center...."
"When is the ""Voter Registration Assistance""?","The event will be open on December 4, 2024 at 6 - 9 p.m. Weekly (to Dec 5)."
"Can you give me some information about ""Voter Registration Assistance""?","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election."
"Where can I see the ""Paws to Relax: Weekly Pet Therapy Program""?","The event is at Well-being Lab (Room 104), Wellness & Meaning-...."
"Is there a specific location to enter for the ""Paws to Relax: Weekly Pet Therapy Program""?","Yes, it is held at Well-being Lab (Room 104), Wellness & Meaning-...."
"When is the ""Paws to Relax: Weekly Pet Therapy Program""?","The event will be open on December 4, 2024 at 7 - 8 p.m. Weekly (to Dec 12)."
"Can you give me some information about ""Paws to Relax: Weekly Pet Therapy Program""?",Volunteers through Animal Friend’s Therapet program join us weekly on Wednesdays from 7-8 p.m. to offer some friendly dog companions for the hour.
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"When is the ""Nativity Fast""?","The event will be open on Nov. 15 - Dec. 23, 2024 all day."
"Can you give me some information about ""Nativity Fast""?","  Traditional season of fasting for Eastern Orthodox Christians, in preparation for the Nativity of Christ.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on December 5, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on December 5, 2024 at 2 - 5 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
